year,rank,country,gold,silver,bronz,total
2008,1,China,51,21,28,100
2008,2,United States,36,38,36,110
2008,3,Russia,22,19,28,69
2008,4,Great Britain,19,13,15,47
2008,5,Germany,16,10,15,41
2008,6,Australia,14,15,17,46
2008,7,South Korea,13,10,8,31
2008,8,Japan,9,6,10,25
2008,9,Italy,8,9,10,27
2008,10,France,7,16,18,41
2008,11,Ukraine,7,5,15,27
2008,12,Netherlands,7,5,4,16
2008,13,Kenya,6,4,4,14
2008,14,Jamaica,6,3,2,11
2008,15,Spain,5,10,3,18
2008,16,Belarus,4,5,9,18
2008,17,Romania,4,1,3,8
2008,18,Ethiopia,4,1,2,7
2008,19,Canada,3,9,7,19
2008,20,Poland,3,6,1,10
2008,21,Hungary,3,5,2,10
2008,22,Norway,3,5,1,9
2008,23,Brazil,3,4,8,15
2008,24,Czech Republic,3,3,0,6
2008,25,New Zealand,3,2,4,9
2008,26,Slovakia,3,2,1,6
2008,27,Georgia,3,0,3,6
2008,28,Cuba,2,10,11,23
2008,29,Kazakhstan,2,4,7,13
2008,30,Denmark,2,2,3,7
2008,31,Mongolia,2,2,0,4
2008,31,Thailand (THA),2,2,0,4
2008,33,Switzerland,2,1,4,7
2008,34,North Korea,2,1,3,6
2008,35,Argentina,2,0,4,6
2008,36,Mexico,2,0,1,3
2008,37,Turkey,1,3,3,7
2008,38,Zimbabwe,1,3,0,4
2008,39,Azerbaijan,1,2,4,7
2008,40,Uzbekistan,1,2,3,6
2008,41,Slovenia,1,2,2,5
2008,42,Bulgaria,1,1,3,5
2008,42,Indonesia (INA),1,1,3,5
2008,44,Finland,1,1,2,4
2008,45,Latvia,1,1,1,3
2008,46,Belgium,1,1,0,2
2008,46,Dominican,1,1,0,2
2008,46,Estonia (EST),1,1,0,2
2008,46,Portugal (POR),1,1,0,2
2008,50,India,1,0,2,3
2008,51,Iran,1,0,1,2
2008,52,Cameroon,1,0,0,1
2008,52,Panama (PAN),1,0,0,1
2008,52,Tunisia (TUN),1,0,0,1
2008,55,Sweden,0,4,1,5
2008,56,Croatia,0,2,3,5
2008,56,Lithuania (LTU),0,2,3,5
2008,58,Greece,0,2,2,4
2008,59,Trinidad and Tobago,0,2,0,2
2008,60,Nigeria,0,1,3,4
2008,61,Austria,0,1,2,3
2008,61,Ireland (IRL),0,1,2,3
2008,61,Serbia (SRB),0,1,2,3
2008,64,Algeria,0,1,1,2
2008,64,Bahamas (BAH),0,1,1,2
2008,64,Colombia (COL),0,1,1,2
2008,64,Kyrgyzstan (KGZ),0,1,1,2
2008,64,Morocco (MAR),0,1,1,2
2008,64,Tajikistan (TJK),0,1,1,2
2008,70,Chile,0,1,0,1
2008,70,Ecuador (ECU),0,1,0,1
2008,70,Iceland (ISL),0,1,0,1
2008,70,Malaysia (MAS),0,1,0,1
2008,70,South,0,1,0,1
2008,70,Singapore (SIN),0,1,0,1
2008,70,Sudan (SUD),0,1,0,1
2008,70,Vietnam (VIE),0,1,0,1
2008,78,Armenia,0,0,5,5
2008,79,Chinese Taipei,0,0,4,4
2008,80,Afghanistan,0,0,1,1
2008,80,Egypt (EGY),0,0,1,1
2008,80,Israel (ISR),0,0,1,1
2008,80,Moldova (MDA),0,0,1,1
2008,80,Mauritius (MRI),0,0,1,1
2008,80,Togo (TOG),0,0,1,1
2008,80,Venezuela (VEN),0,0,1,1
