year,rank,country,gold,silver,bronz,total
2012,1,United States,46,28,29,103
2012,2,China,38,29,21,88
2012,3,Great Britain,29,17,19,65
2012,4,Russia,22,23,32,77
2012,5,South Korea,13,8,7,28
2012,6,Germany,11,19,14,44
2012,7,France,11,11,12,34
2012,8,Australia,8,15,12,35
2012,9,Italy,8,9,11,28
2012,10,Hungary,8,4,6,18
2012,11,Japan,7,14,17,38
2012,12,Kazakhstan,7,1,5,13
2012,13,Netherlands,6,6,8,20
2012,14,Ukraine,6,4,8,18
2012,15,New Zealand,6,2,5,13
2012,16,Cuba,5,3,7,15
2012,17,Iran,4,6,2,12
2012,18,Jamaica,4,4,4,12
2012,19,Czech Republic,4,3,3,10
2012,20,North Korea,4,0,2,6
2012,21,Spain,3,10,4,17
2012,22,Brazil,3,5,9,17
2012,23,Ethiopia,3,2,2,7
2012,24,South Africa,3,2,1,6
2012,25,Croatia,3,1,2,6
2012,26,Belarus,2,5,5,12
2012,27,Romania,2,5,2,9
2012,28,Kenya,2,4,6,12
2012,29,Denmark,2,4,3,9
2012,30,Azerbaijan,2,2,6,10
2012,30,Poland,2,2,6,10
2012,32,Switzerland,2,2,0,4
2012,33,Lithuania,2,1,2,5
2012,34,Norway,2,1,1,4
2012,35,Tunisia,2,0,1,3
2012,36,Canada,1,5,12,18
2012,37,Sweden,1,4,3,8
2012,38,Colombia,1,3,4,8
2012,39,Georgia,1,3,3,7
2012,39,Mexico,1,3,3,7
2012,41,Turkey,1,2,1,4
2012,42,Ireland,1,1,4,6
2012,43,Argentina,1,1,2,4
2012,43,Serbia,1,1,2,4
2012,43,Slovenia,1,1,2,4
2012,46,Dominican Republic,1,1,0,2
2012,47,Trinidad and Tobago,1,1,2,4
2012,48,Uzbekistan,1,0,2,3
2012,49,Latvia,1,0,1,2
2012,50,Algeria,1,0,0,1
2012,50,Bahamas,1,0,0,1
2012,50,Grenada,1,0,0,1
2012,50,Uganda,1,0,0,1
2012,50,Venezuela,1,0,0,1
2012,55,India,0,2,4,6
2012,56,Mongolia,0,2,3,5
2012,57,Thailand,0,2,2,4
2012,58,Egypt,0,2,0,2
2012,59,Slovakia,0,1,3,4
2012,60,Armenia,0,1,2,3
2012,60,Belgium,0,1,2,3
2012,60,Finland,0,1,2,3
2012,63,Bulgaria,0,1,1,2
2012,63,Estonia,0,1,1,2
2012,63,Indonesia,0,1,1,2
2012,63,Malaysia,0,1,1,2
2012,63,Puerto Rico,0,1,1,2
2012,63,Chinese Taipei,0,1,1,2
2012,69,Botswana,0,1,0,1
2012,69,Cyprus,0,1,0,1
2012,69,Gabon,0,1,0,1
2012,69,Guatemala,0,1,0,1
2012,69,Montenegro,0,1,0,1
2012,69,Portugal,0,1,0,1
2012,75,Greece,0,0,2,2
2012,75,Moldova,0,0,2,2
2012,75,Qatar,0,0,2,2
2012,75,Singapore,0,0,2,2
2012,79,Afghanistan,0,0,1,1
2012,79,Bahrain,0,0,1,1
2012,79,Hong Kong,0,0,1,1
2012,79,Saudi Arabia,0,0,1,1
2012,79,Kuwait,0,0,1,1
2012,79,Morocco,0,0,1,1
2012,79,Tajikistan,0,0,1,1
