year,rank,country,gold,silver,bronz,total
2000,1,United States,37,24,32,93
2000,2,Russia,32,28,29,89
2000,3,China,28,16,14,58
2000,4,Australia,16,25,17,58
2000,5,Germany,13,17,26,56
2000,6,France,13,14,11,38
2000,7,Italy,13,8,13,34
2000,8,Netherlands,12,9,4,25
2000,9,Cuba,11,11,7,29
2000,10,Great Britain,11,10,7,28
2000,11,Romania,11,6,9,26
2000,12,South Korea,8,10,10,28
2000,13,Hungary,8,6,3,17
2000,14,Poland,6,5,3,14
2000,15,Japan,5,8,5,18
2000,16,Bulgaria,5,6,2,13
2000,17,Greece,4,6,3,13
2000,18,Sweden,4,5,3,12
2000,19,Norway,4,3,3,10
2000,20,Ethiopia,4,1,3,8
2000,21,Ukraine,3,10,10,23
2000,22,Kazakhstan,3,4,0,7
2000,23,Belarus,3,3,11,17
2000,24,Canada,3,3,8,14
2000,25,Spain,3,3,5,11
2000,26,Turkey,3,0,2,5
2000,27,Iran,3,0,1,4
2000,28,Czech Republic,2,3,3,8
2000,29,Kenya,2,3,2,7
2000,30,Denmark,2,3,1,6
2000,31,Finland,2,1,1,4
2000,32,Austria,2,1,0,3
2000,33,Lithuania,2,0,3,5
2000,34,Azerbaijan,2,0,1,3
2000,34,Bahamas,2,0,1,3
2000,36,Slovenia,2,0,0,2
2000,37,Switzerland,1,6,2,9
2000,38,Indonesia,1,3,2,6
2000,39,Slovakia,1,3,1,5
2000,40,Mexico,1,2,3,6
2000,41,Nigeria,1,2,0,3
2000,42,Algeria,1,1,3,5
2000,43,Uzbekistan,1,1,2,4
2000,44,Latvia,1,1,1,3
2000,44,Yugoslavia,1,1,1,3
2000,46,New Zealand,1,0,3,4
2000,47,Estonia,1,0,2,3
2000,47,Thailand,1,0,2,3
2000,49,Croatia,1,0,1,2
2000,50,Cameroon,1,0,0,1
2000,50,Colombia,1,0,0,1
2000,50,Mozambique,1,0,0,1
2000,53,Brazil,0,6,6,12
2000,54,Jamaica,0,6,3,9
2000,55,Belgium,0,2,3,5
2000,55,South Africa,0,2,3,5
2000,57,Argentina,0,2,2,4
2000,58,Chinese Taipei,0,1,4,5
2000,58,Morocco,0,1,4,5
2000,60,North Korea,0,1,3,4
2000,61,Moldova,0,1,1,2
2000,61,Saudi Arabia,0,1,1,2
2000,61,Trinidad and Tobago,0,1,1,2
2000,64,Ireland,0,1,0,1
2000,64,Uruguay,0,1,0,1
2000,64,Vietnam,0,1,0,1
2000,64,Sri Lanka,0,1,0,1
2000,68,Georgia,0,0,6,6
2000,69,Costa Rica,0,0,2,2
2000,69,Portugal,0,0,2,2
2000,71,Armenia,0,0,1,1
2000,71,Barbados,0,0,1,1
2000,71,Chile,0,0,1,1
2000,71,Iceland,0,0,1,1
2000,71,India,0,0,1,1
2000,71,Israel,0,0,1,1
2000,71,Kuwait,0,0,1,1
2000,71,Kyrgyzstan,0,0,1,1
2000,71,Macedonia,0,0,1,1
2000,71,Qatar,0,0,1,1
